,Player,Country,Team,Type,Auction_Base_price,Auc_Base_price_pounds
47,Wriddhiman Saha,India,Gujarat Titans,Wicket-Keeper,19000000,189468.0
48,Jayant Yadav,India,Gujarat Titans,All-Rounder,17000000,169524.0
49,Vijay Shankar,India,Gujarat Titans,All-Rounder,14000000,139608.0
50,Dominic Drakes,West Indies,Gujarat Titans,All-Rounder,11000000,109692.0
51,Gurkeerat Singh,India,Gujarat Titans,All-Rounder,5000000,49860.0
52,Varun Aaron,India,Gujarat Titans,Bowler,5000000,49860.0
53,Noor Ahmad,Afghanistan,Gujarat Titans,Bowler,3000000,29916.0
54,Darshan Nalkande,India,Gujarat Titans,All-Rounder,2000000,19944.0
55,B. Sai Sudharsan,India,Gujarat Titans,All-Rounder,2000000,19944.0
56,Pradeep Sangwan,India,Gujarat Titans,All-Rounder,2000000,19944.0
57,Shreyas Iyer,India,Kolkata Knight Riders,Batsman,122500000,1221570.0
58,Nitish Rana,India,Kolkata Knight Riders,All-Rounder,80000000,797760.0
59,Pat Cummins,Australia,Kolkata Knight Riders,All-Rounder,72500000,722970.0
60,Sam Billings,England,Kolkata Knight Riders,Wicket-Keeper,20000000,199440.0
61,Umesh Yadav,India,Kolkata Knight Riders,Bowler,20000000,199440.0
62,Alex Hales,England,Kolkata Knight Riders,Batsman,15000000,149580.0
63,Tim Southee,New Zealand,Kolkata Knight Riders,Bowler,15000000,149580.0
64,Mohammad Nabi,Afghanistan,Kolkata Knight Riders,All-Rounder,10000000,99720.0
65,Sheldon Jackson,India,Kolkata Knight Riders,Wicket-Keeper,6000000,59832.0
66,Rinku Singh,India,Kolkata Knight Riders,Batsman,5500000,54846.0
67,Ashok Sharma,India,Kolkata Knight Riders,Bowler,5500000,54846.0
68,Chamika Karunaratne,Sri Lanka,Kolkata Knight Riders,All-Rounder,5000000,49860.0
69,Abhijeet Tomar,India,Kolkata Knight Riders,Batsman,4000000,39888.0
70,Anukul Roy,India,Kolkata Knight Riders,All-Rounder,2000000,19944.0
71,Rasikh Dar,India,Kolkata Knight Riders,Bowler,2000000,19944.0
72,Baba Indrajith,India,Kolkata Knight Riders,Wicket-Keeper,2000000,19944.0
73,Aman Khan,India,Kolkata Knight Riders,All-Rounder,2000000,19944.0
74,Ramesh Kumar,India,Kolkata Knight Riders,Batsman,2000000,19944.0
75,Pratham Singh,India,Kolkata Knight Riders,Batsman,2000000,19944.0
76,Avesh Khan,India,Lucknow Super Giants,Bowler,100000000,997200.0
77,Krunal Pandya,India,Lucknow Super Giants,All-Rounder,82500000,822690.0
78,Mark Wood,England,Lucknow Super Giants,Bowler,75000000,747900.0
